"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.258619488E0,-1.141376376E0,1.395524120E1,-3.521935940E0
5.277962873E0,-7.633104324E-1,1.656581116E1,-2.954836845E0
5.297306206E0,1.947757602E0,1.489801311E1,-4.481457710E0
5.316649540E0,5.091926575E0,1.334267807E1,-3.265903711E0
5.335992873E0,2.246860504E0,1.178495026E1,-3.340081215E0
5.355336206E0,1.076770201E-1,1.078714371E1,-3.694219112E0
5.374679540E0,-2.407179594E0,8.731708527E0,-1.284646630E0
5.394022873E0,-6.606583118E0,5.331508160E0,1.654038578E-1
5.413366258E0,-1.162433243E1,2.898007393E0,-4.579563618E0
5.432709592E0,-1.537149239E1,3.843172312E0,-8.520542145E0
5.452052925E0,-1.495753479E1,4.087240219E0,-3.086441994E0
5.471396258E0,-1.285902882E1,1.692024708E0,3.329014480E-1
5.490739592E0,-9.525827408E0,-2.676970363E-1,4.381856322E-1
5.510082925E0,-6.860222340E0,-1.796710730E0,1.366600871E0
5.529426311E0,-5.149354458E0,-1.961815476E0,2.668296337E0
5.548769644E0,-3.543770313E0,-4.184448719E-1,2.993720293E0
5.568112977E0,-2.945564747E0,2.299801588E0,3.323929787E0
5.587456311E0,-3.230310678E0,4.498805523E0,1.904985905E0
5.606799644E0,-4.742574692E0,5.568397522E0,1.400100350E0
5.626142977E0,-5.781059742E0,7.214659214E0,-9.735797048E-1
5.645486311E0,-6.963113785E0,9.595518112E0,-3.641577005E0
5.664829644E0,-5.757131100E0,1.156481075E1,-5.405087471E0
5.684173029E0,-3.596412420E0,1.091635609E1,-3.780360699E0
5.703516363E0,3.732803464E-1,9.954441071E0,-5.931209326E-1
5.722859696E0,2.565105915E0,1.197876930E1,6.607181430E-1
5.742203029E0,1.038485050E0,1.303639698E1,-1.607677698E0
5.761546363E0,-4.354937077E-1,1.171555901E1,-3.521935940E0
5.780889696E0,9.571290612E-1,9.143274307E0,-2.990729094E0
5.800233029E0,2.811566591E0,7.899006844E0,-2.076670885E0
5.819576363E0,3.321237803E0,9.128917694E0,-1.997707844E0
5.838919696E0,1.265803218E0,9.186345100E0,-2.303989172E0
5.858263081E0,-1.942971945E0,8.234002113E0,-1.382752419E0
5.877606415E0,-3.948157310E0,9.303593636E0,-1.334895968E0
5.896949748E0,5.572884083E0,2.051396751E1,-1.500000715E0
5.916293081E0,1.617548180E1,2.382084846E1,1.658495331E1
5.935636415E0,2.904886723E0,6.733702183E0,-1.550249934E0
5.954979748E0,-7.872386456E0,5.913262963E-1,-8.156833649E0
5.974323081E0,-9.798608780E0,2.065304995E0,-1.060469055E1
5.993666415E0,-1.521356678E1,8.973383904E0,-1.129860973E1
6.013009748E0,-1.438325691E1,1.099053383E1,-1.045872879E1
6.032353081E0,-4.993820667E0,7.681259632E0,-5.364409447E0
6.051696415E0,-2.632104978E-2,9.392127991E0,7.731808424E-1
6.071039800E0,3.594019651E0,1.061725330E1,5.410770178E-1
6.090383133E0,7.278966427E0,1.126331520E1,-1.641177177E0
6.109726467E0,3.706482172E0,9.818050385E0,-3.036192894E0
6.129069800E0,-3.213560820E0,8.396714211E0,-3.933501244E0
6.148413133E0,-5.982056618E0,8.458927155E0,-3.158226728E0
6.167756467E0,-5.556134224E0,8.798707962E0,-1.837388635E0
6.187099800E0,-3.663411379E0,8.801100731E0,-2.483450890E0
6.206443133E0,-3.661018610E-1,9.164810181E0,-2.658126831E0
6.225786467E0,1.464407444E0,9.657731056E0,-2.409273386E0
6.245129800E0,1.990828395E0,9.502198219E0,-1.990529299E0
6.264473133E0,1.148554921E0,9.212666512E0,-1.564606905E0
6.283816467E0,-1.459621787E0,9.047561646E0,-2.095813513E0
6.303159800E0,-3.708875179E0,9.289237022E0,-2.674876690E0
6.322503133E0,-3.850051641E0,9.480662346E0,-2.801696301E0
6.341846467E0,-2.275574446E0,9.530911446E0,-2.418844700E0
6.361189800E0,-6.484549642E-1,9.942477226E0,-2.763411045E0
6.380533133E0,-6.939185411E-2,1.049043369E1,-3.531507015E0
6.399876467E0,7.896314561E-2,1.077039337E1,-2.875873804E0
6.419219800E0,-3.062812984E-1,1.112692451E1,-2.050349951E0
6.438563133E0,-1.741974831E0,1.144995499E1,-2.136491537E0
6.457906467E0,-2.210968018E0,1.144756222E1,-2.940479994E0
6.477249852E0,-1.349551916E0,1.118435192E1,-2.906980515E0
6.496593133E0,-9.738788009E-1,1.175145149E1,-2.691626310E0
6.515936519E0,-5.814558864E-1,1.379731464E1,-3.734897137E0
6.535279852E0,-4.546363056E-1,1.535264874E1,-5.144269466E0
6.554623186E0,1.421336651E0,1.500090408E1,-7.072884560E0
6.573966519E0,-4.498506486E-1,1.291675568E1,-2.562413931E0
6.593309852E0,-2.701496840E0,1.024158001E1,-4.775774956E0
6.612653186E0,-2.950350285E0,1.000708294E1,-4.981557846E0
6.631996519E0,-3.830909014E0,7.877471447E0,-1.425823212E0
6.651339852E0,-6.946363926E0,4.608875751E0,1.727917075E0
6.670683186E0,-9.580862045E0,3.134896755E0,-1.239183068E0
6.690026519E0,-1.038245773E1,3.467499018E0,-2.796910524E0
6.709369852E0,-1.035852909E1,3.043969393E0,-1.480558962E-1
